AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN,INDUSTRY,BUSINESS
45,FEMALE,MARRIED,4,PDC,"49,445.42",8,PDNP,PASIG,12.0,MORTGAGED,7.0,2.41,1.1,SERVICES,DENTAL CLINIC
34,FEMALE,SINGLE,3,PDC,1.00,4,PDNP,PASIG,6.0,RENTED,2.0,1.43,1.5,SERVICES,SCRAPER
63,FEMALE,MARRIED,1,PDC,1.00,4,PDNP,PASIG,22.0,SHARED/BORROWED,37.0,1.08,0.426,MANUFACTURING,MANUFACTURING OF BABY CRIBS AND HIGH CHAIR
40,FEMALE,SINGLE,1,WALK-IN,1.00,3,PDNP,PASIG,2.0,RENTED,2.0,1.4,0.45,SERVICES,DENTAL CLINIC
47,FEMALE,SINGLE,1,WALK-IN,1.00,4,PDNP,PASIG,29.0,RENTED,30.0,1.23,1.246,RETAIL,VEGETABLE RETAIL
42,FEMALE,SINGLE,4,PDC,"77,843.68",5,PDNP,PASIG,7.0,RENTED,15.0,1.63,2.4619999999999997,SERVICES,"TRADING SCRAPS, HAULING SERVICES"
38,FEMALE,MARRIED,2,PDC,"29,055.97",6,PDNP,PASIG,2.0,MORTGAGED,7.0,1.47,0.747,SERVICES,SALON
57,FEMALE,MARRIED,3,WALK-IN,1.00,5,PDNP,PASIG,11.0,OWNED,22.0,1.68,0.75,RETAIL/SERVICES,RTW/COMPUTER SHOP
47,FEMALE,MARRIED,5,WALK-IN,1.00,2,PDNP,PASIG,14.0,SHARED/BORROWED,14.0,1.2,0.5710000000000001,MANUFACTURING/RETAIL,BAKERY/SARI SARI STORE
31,MALE,SINGLE,0,PDC,"4,257.49",4,PDNP,PASIG,2.0,RENTED,2.0,1.34,1.077,SERVICES,EATERY
52,FEMALE,MARRIED,3,WALK-IN,1.00,4,PDNP,PASIG,12.0,RENTED,2.0,1.27,0.563,SERVICES,EATERY
63,FEMALE,WIDOW,0,PDC,"56,909.45",7,PDNP,PASIG,12.0,OWNED,21.0,1.67,1.776,RETAIL,SCHOOL SUPPLIES
45,FEMALE,SINGLE,3,WALK-IN,1.00,1,PDNP,PASIG,5.0,SHARED/BORROWED,41.0,1.06,0.23800000000000002,SERVICES,EATERY
56,MALE,MARRIED,4,WALK-IN,"2,009.49",7,PDNP,PASIG,14.0,RENTED,6.0,2.3,1.867,MANUFACTURING,TAILORING
59,FEMALE,SEPARATED,2,WALK-IN,"17,900.04",1,PDNP,ANB,2.0,OWNED,37.0,1.42,3.7,SERVICES,EATERY
33,FEMALE,MARRIED,2,WALK-IN,"4,205.15",1,PDNP,ANB,5.0,SHARED/BORROWED,29.0,1.29,1.25,RETAIL,VEGETABLE RETAIL
48,FEMALE,SINGLE,1,WALK-IN,"6,912.78",1,PDNP,ANB,10.0,RENTED,15.0,1.16,0.975,RETAIL,FRUITS/VEGETABLES RETAIL
56,FEMALE,SINGLE,3,PDC,1.00,7,PDNP,ANB,3.0,RENTED,4.0,3.34,,RETAIL,HARDWARE
54,FEMALE,MARRIED,4,WALK-IN,"5,244.73",1,PDNP,ANB,28.0,OWNED,40.0,1.04,0.6,RETAIL,FISH RETAIL
55,FEMALE,WIDOW,1,PDC,1.00,1,PDNP,PASIG,4.0,OWNED,16.0,1.06,0.8,RETAIL,MINI GROCERY
27,MALE,SINGLE,0,PDC,,1,CURT,PASIG,5.0,OWNED,29.0,3.72,1.13,RETAIL,FISH RETAIL
49,MALE,SINGLE,1,WALK-IN,"18,224.17",1,PDNP,PASIG,7.0,RENTED,6.0,1.86,2.468,RETAIL,FISH RETAIL
36,FEMALE,MARRIED,3,WALK-IN,"36,457.96",8,PDNP,ANB,15.0,SHARED/BORROWED,35.0,1.01,0.40399999999999997,WHOLESALER,PASALUBONG
45,FEMALE,MARRIED,1,WALK-IN,959.22,3,PDNP,PASIG,28.0,OWNED,28.0,3.88,3.75,WHOLESALER,VEGEBLES
39,FEMALE,MARRIED,2,PDC,"12,034.65",6,PDNP,PASIG,2.0,OWNED,37.0,2.88,4.74,SERVICES,OPTICAL
23,FEMALE,SINGLE,2,WALK-IN,"3,623.51",4,PDNP,PASIG,5.0,SHARED/BORROWED,7.0,1.34,1.208,RETAIL,FISH RETAIL
45,MALE,MARRIED,3,WALK-IN,"6,250.90",2,PDNP,PASIG,2.0,SHARED/BORROWED,10.0,2.12,2.92,RETAIL,RTW
34,MALE,SINGLE,1,WALK-IN,"5,031.58",2,PDNP,PASIG,6.0,RENTED,3.0,2.39,0.631,RETAIL,VEGETABLE RETAIL
41,FEMALE,SINGLE,2,WALK-IN,1.00,1,PDNP,PASIG,5.0,SHARED/BORROWED,13.0,1.05,1.4269999999999998,RETAIL,SARI SARI STORE
47,MALE,MARRIED,3,WALK-IN,"20,364.64",3,PDNP,PASIG,8.0,SHARED/BORROWED,25.0,1.28,2.96,RETAIL,SCHOOL SUPPLIES
44,FEMALE,MARRIED,1,WALK-IN,"20,364.64",1,PDNP,PASIG,20.0,OWNED,27.0,1.98,1.399,SERVICES,CARINDERIA
40,FEMALE,MARRIED,6,WALK-IN,"17,281.92",14,PDNP,PASIG,10.0,RENTED,10.0,2.94,1.042,RETAIL,VEGETABLE RETAIL
50,FEMALE,MARRIED,4,PDC,"12,264.32",4,PDNP,PASIG,20.0,OWNED,27.0,1.23,0.639,RETAIL,MEAT SHOP
41,MALE,SINGLE,2,WALK-IN,"3,025.88",3,PDNP,PASIG,7.0,OWNED,7.0,1.97,0.733,RETAIL,GLASSWARE/PLASTIC WARE
24,MALE,SINGLE,1,WALK-IN,"22,806.73",1,PDNP,PASIG,5.0,SHARED/BORROWED,20.0,5.05,1.6669999999999998,RETAIL,VEGETABLE RETAIL
42,FEMALE,MARRIED,2,WALK-IN,1.00,2,PDNP,PASIG,10.0,SHARED/BORROWED,30.0,1.63,2.775,RETAIL,MINI GROCERY
