AGE,GENDER,CIVIL STATUS,NO DEPENDANTS,MOP,PORTFOLIO AT RISK,CYCLES,CURT/PDNP,BRANCH,YEARS BUS,HOME,YEARS HOME,CF TO LOAN,COLL TO LOAN
31,FEMALE,MARRIED,1,WALK-IN," 35,220.84 ",1,PDNP,Cavite,5.0,RENTED,10.0,                               -  ,                               -  
59,FEMALE,MARRIED,2,WALK-IN," 13,692.74 ",1,PDNP,Cavite,5.0,OWNED,5.0," 63,772.02 ",                               -  
49,FEMALE,SINGLE,1,WALK-IN,0,5,CURT,Cavite,5.0,OWNED,7.0," 81,684.76 "," 30,000.00 "
36,MALE,MARRIED,1,WALK-IN,0,4,CURT,Cavite,3.0,OWNED,9.0," 162,618.62 "," 65,000.00 "
50,FEMALE,MARRIED,1,WALK-IN," 50,894.66 ",3,PDNP,Cavite,3.0,OWNED,4.0," 161,217.14 "," 57,000.00 "
41,FEMALE,WIDOW,0,PDC," 13,946.67 ",2,PDNP,Cavite,3.0,MORTGAGED,3.0," 383,740.71 "," 100,000.00 "
44,FEMALE,MARRIED,3,WALK-IN,0,3,CURT,Cavite,5.0,OWNED,18.0," 168,390.66 "," 64,500.00 "
54,FEMALE,MARRIED,2,WALK-IN," 7,009.89 ",2,PDNP,Cavite,20.0,RENTED,25.0," 113,373.70 "," 15,000.00 "
37,FEMALE,MARRIED,2,PDC,0,4,CURT,Cavite,10.0,OWNED,36.0," 419,997.14 "," 300,000.00 "
45,FEMALE,MARRIED,2,PDC," 47,891.26 ",3,PDNP,Cavite,18.0,OWNED,18.0," 348,658.98 "," 150,000.00 "
36,MALE,MARRIED,1,PDC,0,5,CURT,Cavite,5.0,RENTED,5.0," 318,724.90 "," 172,000.00 "
40,FEMALE,SINGLE,2,PDC," 25,857.08 ",2,PDNP,Cavite,4.0,RENTED,9.0," 82,750.32 ",                               -  
31,FEMALE,MARRIED,3,PDC,0,4,CURT,Cavite,14.0,RENTED,15.0," 76,912.70 "," 100,000.00 "
